Unnamed: 0,cleaned_review,sentiment
0,i love this app it is so useful and easy to use,positive
1,terrible experience the app crashes all the time,negative
2,decent app but needs improvement in the ui,positive
3,fantastic this app has changed my life,positive
4,the app is okay but it lacks many features,positive
5,worst app ever it is full of bugs,negative
6,excellent functionality and userfriendly design,positive
7,not bad but there are better alternatives out there,positive
8,im very satisfied with this app highly recommended,positive
9,the app is slow and unresponsive at times,negative
10,good app but it could use some updates,positive
11,i had a bad experience the customer support is unhelpful,negative
12,amazing app very intuitive and efficient,positive
13,its an average app nothing special,positive
14,ive been using this app for months and i love it,positive
15,disappointed the app doesnt work as advertised,negative
16,pretty good app but theres room for improvement,positive
17,i wouldnt recommend this app to anyone,neutral
18,the app is great but it crashes occasionally,positive
19,very pleased with this app it meets all my needs,positive
20,this app exceeded my expectations,neutral
21,the interface is cluttered and confusing,negative
22,great app but a bit overpriced,positive
23,very buggy needs a lot of improvements,positive
24,the customer service was excellent,positive
25,i found this app to be very intuitive,positive
26,not worth the money i want a refund,negative
27,the best app in its category,positive
28,the latest update broke many features,positive
29,highly useful for my daily tasks,positive
30,i encountered frequent crashes,positive
31,very satisfied with the performance,positive
32,the design is sleek and modern,positive
33,the app is not compatible with my device,neutral
34,i love the new features in the latest update,positive
35,the app drains my battery quickly,positive
36,userfriendly and efficient,neutral
37,too many ads make it unusable,positive
38,reliable and performs well,neutral
39,the app is okay but needs more features,positive
40,its good but i had higher expectations,positive
41,ive had a smooth experience so far,positive
42,not intuitive at all very complicated,negative
43,one of the best apps ive used,positive
44,the app often freezes and crashes,neutral
45,helpful customer support,neutral
46,the app doesnt have enough tutorials,neutral
47,fantastic performance and reliability,positive
48,i wouldnt use any other app,negative
49,the app could use a dark mode,negative
